llave_cod_cliente,admin_antiguedad_banco,admin_flag_gerenciado,buro_creditos_otros_bancos,buro_score_apc,buro_wallet_share,comp_flag_atm,comp_flag_bpi,comp_flag_cnb,comp_flag_pos,comp_flag_suc,comp_perc_atm,comp_perc_canal_fisico,comp_perc_cnb,comp_perc_bpi,comp_perc_pos,comp_perc_suc,comp_score_digital,comp_txn_atm,comp_txn_bpi,comp_txn_cnb,comp_txn_pos,comp_txn_suc,comp_usd_atm_prom,comp_usd_bpi_prom,comp_usd_cnb_prom,comp_usd_pos_prom,comp_usd_suc_prom,dem_edad,dem_planilla,finc_bal_act,finc_bal_pas,finc_perc_act_tc,finc_perc_pas_tc,finc_sva,finc_tamano_comercial,pdcto_flag_auto,pdcto_flag_cta_ahorro,pdcto_flag_cta_corriente,pdcto_flag_cta_dpf,pdcto_flag_financomer,pdcto_flag_garantizado,pdcto_flag_hipoteca,pdcto_flag_pp,pdcto_flag_seguros,pdcto_flag_tiene_tdc,pdcto_flag_tiene_tdd,pdcto_ivc_actual
149664,20,0,1,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1.303705,0,0,1,0,0,0,0,0,0,0,0,0,1
149744,20,0,1,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0.01,0,1,1.926576,0.01,0,0,1,0,0,0,0,0,0,0,0,1
149802,20,0,1,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,310.16,0,1,,310.16,0,1,0,0,0,0,0,0,0,0,0,1
150166,20,0,1,628,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.666666,0,0,0,0,52,0,0,31.1,0,1,2.152527,31.1,0,1,0,0,0,0,0,0,0,0,1,1
151026,20,0,0,604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,6904.99,0,1,0,10.692096,6904.99,0,0,0,0,0,0,0,1,0,0,0,1
151260,20,0,1,587,0,1,0,0,0,1,0.98,0,0,0,0,0.02,0,89,0,0,0,2,1261.25,0,0,0,8.75,50,0,0,212.97,0,1,8.965294,212.97,0,0,1,0,0,0,0,0,0,0,1,1
151424,20,0,0,,0,1,0,0,1,1,0.44,0,0,0,0.54,0.02,0,22,0,0,27,1,366.25,0,0,61.656666,0.445833,46,1,0,65.2,0,1,3.456232,65.2,0,1,0,0,0,0,0,0,0,0,1,1
151456,20,0,1,541,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,22292.63,0,1,0,25.731026,22292.63,0,0,0,0,0,0,1,0,1,1,0,2
151902,20,0,1,525,0,1,0,0,1,0,0.65,0,0,0,0.35,0,0,129,0,0,69,0,583.75,0,0,237.85,0,49,1,0,106.07,0,1,2.775398,106.07,0,0,1,0,0,0,0,0,0,0,1,1
151948,20,0,1,843,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,62214.97,0,1,0,20.291528,62214.97,0,0,0,0,0,0,1,0,1,1,0,2
151954,20,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,56.94,0,1,,56.94,0,1,0,0,0,0,0,0,0,0,0,1
152148,20,0,1,531,0.74,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,394.900833,43,0,7232.16,0,1,0,13.921623,7232.16,1,1,0,0,0,0,0,0,0,0,1,2
152163,20,0,1,608,0.22,1,0,0,1,1,0.88,0,0,0,0.09,0.03,0,67,0,0,7,2,758.75,0,0,20.538333,66.666666,47,0,7882.62,0,1,0,14.134415,7882.62,0,1,0,0,0,0,0,1,0,0,1,2
152211,20,0,1,413,0.61,1,0,0,1,1,0.84,0,0,0,0.11,0.04,0,226,0,0,30,12,833.916666,0,0,24.784166,560.833333,43,1,0,30.97,0,1,4.619903,30.97,0,1,1,0,0,0,0,0,0,0,1,2
